cLogP,cLogS,Smiles
4.5619,-5.897,CCCCNC(N(C)c1nnc(SCc2cccc(Cl)c2)s1)=O
0.3403,-2.503,[O-][N+](c(cc1)cc(C=O)c1N1CCOCC1)=O
3.6995,-5.199,Cc(cc1OCOc1c1)c1NC(c(cccc1)c1I)=O
3.2485,-5.699,[O-][N+](c(cc1)ccc1/C(/c1cccs1)=N/OC(c1ccco1)=O)=O
1.9422,-2.729,C/C(/c(cc1OC)cc(OC)c1OC)=N/O
3.4083,-4.344,CCN(CC)C(CN(c(cccc1)c1/C1=N\OC(c2c(C)cccc2)=O)/C1=O)=O
2.6442,-3.015,CCN(CC)C(CSc1nc(cccc2)c2o1)=O
3.3425,-4.804,O=C(NCCOC(Nc1ccccc1)=O)Nc1cccc(C(F)(F)F)c1
3.9166,-5.274,O/N=C(/c1cc(cccc2)c2o1)\c1ccccc1
2.8869,-3.024,Cc1cc(OCCNS(c2cccs2)(=O)=O)cc(C)c1
3.4607,-3.82,O/N=C(\Cc1ccccc1)/c1cccs1
2.356,-4.561,[O-][N+](c(cc1)ccc1/C(/c1cccs1)=N\O)=O
2.7113,-3.564,CC(C)(C)NC(CSc1nc(cccc2)c2o1)=O
4.0188,-4.923,Cc1cc(OCCNC(c(cc(c(F)c2)F)c2Cl)=O)cc(C)c1
3.7062,-5.498,O=C(NCCOC(Nc1ccccc1)=O)Nc(cc1)cc(Cl)c1Cl
2.3479,-3.331,CCN(CC)C(CN(c(ccc(Br)c1)c1O1)C1=O)=O
2.9646,-3.371,O=C(CSc1nc(cccc2)c2o1)N1CCCCC1
1.3843,-2.481,O=C(CCCNS(c1ccccc1)(=O)=O)NCc1ccco1
1.4014,-2.165,C/C(/c1cccc(OCC(N2CCOCC2)=O)c1)=N\O
4.998,-5.586,COc(cc1)cc(CC/C2)c1/C2=N/OC(c(cccc1)c1SC)=O
3.6704,-4.736,CCN(CC)C(CN(c(cccc1)c1/C1=N\OC(c(cccc2)c2Cl)=O)/C1=O)=O
4.2711,-5.019,CCCCSc1nnc(N(C)C(Nc2ccccc2)=O)s1
4.3177,-5.729,O=C(NCCOc(cc1)ccc1Cl)Nc1cccc2ccccc12
3.0644,-4,CCN(CC)C(CN(c(cccc1)c1/C1=N\OC(c2ccccc2)=O)/C1=O)=O
2.4529,-4.04,NC(COc1ccc(/C=C(/C(c2ccccc2)=NO2)\C2=O)cc1)=O
3.919,-4.449,C[C@@H](c(cc1)ccc1Br)NC(Nc1ccccc1)=S
0.8878,-2.348,O=C(CC1)NN1c(cc1)ccc1Br
4.8918,-5.937,CC(C)c1ccc(CNC(Nc2cccc3ccccc23)=O)cc1
3.6657,-4.406,O=C(NCCc1ccccc1)Nc(cc1)ccc1Br
-0.178,-2.205,[O-][N+](c(cc1)ccc1NC(/C=C/C(O)=O)=O)=O
2.2993,-3.456,CCOC(Cc1csc(NS(c2cc(C)ccc2)(=O)=O)n1)=O
1.1339,-3.425,[O-][N+](c1cc(C2O[C@@H](CCCC3)[C@H]3O2)ccc1)=O
1.0835,-2.565,Cc1cc2cccnc2c(S(N)(=O)=O)c1
3.4083,-4.344,CCN(CC)C(CN(c(cccc1)c1/C1=N\OC(c2ccc(C)cc2)=O)/C1=O)=O
3.5093,-4.504,CCCCOCCNC(Nc1cccc2ccccc12)=O
1.8246,-2.691,Cc(cc1)ccc1C(Nc1nnc(COC)s1)=O
2.9448,-4.13,C[C@@H](Cc1c2cccc1)N2S(c1ccc(C)cc1)(=O)=O
2.5283,-3.213,C/C(/CC(Nc1c(C)cc(C)cc1)=O)=N\O
2.249,-3.017,O=C([C@@H](CC1)c2ccccc2)NN1c1ccccc1
1.4827,-2.184,COC(NCc(cc1)ccc1S(N1CCCCC1)(=O)=O)=O
2.4987,-3.529,COc1cccc(/C=N/N=C(\N2)/SCC2=O)c1
0.7777,-2.456,CCNS(c1c(C)c(-n2nnnc2)c(C)cc1)(=O)=O
1.7088,-4.029,C[C@@H](Cc1c2ccc(S(N)(=O)=O)c1)N2S(c1ccc(C)cc1)(=O)=O
1.1565,-1.717,Cn1c(Sc2nnnn2-c2ccccc2)ncc1
1.4614,-2.071,CCNS(c(cc1)ccc1-n1nc(C)cc1Cl)(=O)=O
1.8676,-1.896,COc(cc1)ccc1N(CC1)CCN1C(c1cnccc1)=O
2.6477,-3.394,C[C@H](CC1)CC[C@@H]1NC(c1cc(Br)cnc1)=O
2.3232,-3.513,O=C(c(cc(c(F)c1)F)c1Cl)NCc1ccncc1
3.1431,-4.543,COc(cc(C(NCc(cc1)cc2c1OCO2)=O)c(Br)c1OC)c1OC
4.4716,-5.82,O=C(c(cccc1)c1NC(c(cc(c(F)c1)F)c1Cl)=O)NCc1ccccc1
0.5828,-1.589,C[C@H](CC1)CC[C@@H]1NC(c1ncn[nH]1)=O
3.0227,-4.376,CN1C(SCc(cccc2)c2F)=Nc(cccc2)c2C1=O
3.4273,-4.571,Cc(cc1C)cc(C)c1NC(CSCC(Nc1ccccc1)=O)=O
2.6138,-3.697,O=C(c(cc(c(F)c1)F)c1Cl)Nc1ccncc1
1.36,-2.214,N#Cc(cccc1)c1S(N1CCCC1)(=O)=O
1.0269,-2.242,CCNS(c(cccc1)c1C#N)(=O)=O
1.4686,-3.432,N#Cc(cccc1)c1S(Nc1cc(C(N2CCOCC2)=O)ccc1)(=O)=O
2.3537,-3.045,COc(cccc1)c1OCCNC(C1CCCCC1)=O
3.6471,-4.896,CN1C(SCc(cccc2)c2Br)=Nc(cccc2)c2C1=O
4.5926,-4.893,CC(C)(C(NCCc(cc1)ccc1Cl)=O)Oc(cc1)ccc1Br
4.2339,-4.554,CC(C)(C(N(CC1)c2c1cccc2)=O)Oc(cc1)ccc1Br
3.4347,-3.781,CC(C)c(cccc1)c1OCCNC(c1cc(Br)cnc1)=O
1.2815,-2.278,O=C(c1n[nH]cn1)Nc1ccc(Cc2ccncc2)cc1
1.1936,-3.036,NC(COc(cc1)ccc1NC(c1cc(Br)cnc1)=O)=O
1.4495,-3.415,NC(COc1c(C=O)c2ccccc2cc1)=O
3.6562,-3.848,O=C(CCc(cc1)ccc1NC(C1CCCCC1)=O)N1CCCC1
5.1337,-5.498,CCc1cccc(CC)c1NC(c(cc(c(F)c1)F)c1Cl)=O
1.349,-3.072,CN(c(cc1)ccc1C(O)=O)S(c1ccccc1)(=O)=O
2.8425,-4.506,CS(NC1c(cccc2)c2-c2c1cccc2)(=O)=O
2.4562,-3.871,O=C(c1cc(Br)cnc1)Nc(cc1)ccc1N(CCC1)C1=O
4.1625,-4.781,CC(C)(C(NCc(cccc1)c1Cl)=O)Oc(cc1)ccc1Br
3.7786,-4.125,CC(C)c(ccc(C)c1)c1OCCNC(c1cc(Br)cnc1)=O
1.5784,-3.402,O=C(c1ncn[nH]1)NCCOc(cccc1)c1Oc1ccccc1
4.1193,-4.949,CC(C)(Cc1c2sc(NC(c3ccc(C)cc3)=O)n1)CC2=O
3.2237,-4.118,Cn1c(SCC(N2CCCCC2)=O)nnc1-c(cccc1)c1Br
4.583,-5.969,CC(C)(Cc1c2sc(NC(c(cc(c(F)c3)F)c3Cl)=O)n1)CC2=O
3.1033,-5.028,CSc(cc1)ccc1S(Nc1nc2ccccc2cc1)(=O)=O
3.3887,-4.668,O=C(CCc1ccccc1)Nc(cc1)ccc1C(c1ccncc1)=O
3.531,-4.602,O=C(c(cccc1)c1SCc1ccccc1)NCc1ncccc1
3.5903,-3.948,Cc1nc(ccc(S(NCCc(cc2)ccc2Cl)(=O)=O)c2)c2s1
2.8869,-5.769,CCN(c1cccc2ccccc12)S(c1c(C)ccc([N+]([O-])=O)c1)(=O)=O
2.7262,-4.487,COc1cc(C(Nc(cc2)ccc2C(c2ccncc2)=O)=O)cc(OC)c1OC
2.3098,-3.557,Cc1nc(ccc(S(Nc2ccccc2)(=O)=O)c2)c2s1
3.1846,-5.528,COc(cc1)ccc1C(CSc1nnc(-c2ccccc2)o1)=O
2.4075,-2.84,O=C(Cc1c2cccc1)N(CCOc1ccccc1)C2=O
0.1191,-1.161,O=C(COC1)N(Cc2ccccc2)C1=O
-1.1077,-2.152,CCOc1ccc([C@@H]2SC[C@H](C(O)=O)N2)cc1
4.5266,-4.335,COc1cc(C(Nc2nc(SCc(cc3)ccc3F)ns2)=O)cc(OC)c1
2.3537,-3.045,COc1cccc(OCCNC(C2CCCCC2)=O)c1
2.4463,-3.47,O=C([C@H](CCC1)N1S(c(cc1)cc(Cl)c1Cl)(=O)=O)Nc1cnccc1
3.4408,-4.833,O=C(c1ccccc1)c(cc1)ccc1OCCNS(c(cc1)ccc1F)(=O)=O
4.4549,-4.448,CC(C)Cc1ccc([C@H](C)C(Nc(cc2OC)cc(OC)c2OC)=O)cc1
2.2535,-3.532,O=C([C@H](CCC1)N1S(c(cc1)cc(Cl)c1Cl)(=O)=O)Nc1ncccn1
1.14,-1.844,COC(CCC(NCCOc1ccccc1)=O)=O
1.4805,-2.043,O=C(c1cnccc1)Nc1cccc(C(N2CCOCC2)=O)c1
3.6209,-4.707,C[C@@H](c1cccc(NC(c(ccc2ccccc22)c2OC)=O)c1)O
